Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
AsnetAm,531,2658,,,,,,,,,,,,,0.701108,0.2383
Belnet2004,72,143,,,,,,,,,,,,,0.002114,0.0122
BtLatinAmerica,95,149,,,,,,,,,,,,,0.002831,0.0128
BtNorthAmerica,528,2675,,,,,,,,,,,,,0.719346,0.2242
Cesnet200304,42,113,,,,,,,,,,,,,0.000854,0.0113
Cesnet200706,97,136,,,,,,,,,,,,,0.002274,0.0092
Cesnet201006,349,1443,,,,,,,,,,,,,0.033345,0.0849
Colt,1288,1457,,,,,,,,,,,,,0.034927,0.1989
Columbus,534,2657,,,,,,,,,,,,,0.685709,0.2405
Cudi,100,187,,,,,,,,,,,,,0.003998,0.0214
Cwix,70,114,,,,,,,,,,,,,0.001435,0.0081
DeutscheTelekom,199,707,,,,,,,,,,,,,0.007459,0.0309
Dfn,536,2790,,,,,,,,,,,,,0.788802,0.245
DialtelecomCz,1130,1104,,,,,,,,,,,,,0.015464,0.1359
Digex,59,139,,,,,,,,,,,,,0.001463,0.0139
Esnet,545,2615,,,,,,,,,,,,,0.688427,0.2308
Evolink,76,123,,,,,,,,,,,,,0.001698,0.009
Forthnet,264,891,,,,,,,,,,,,,0.012919,0.0486
Garr200902,508,3038,,,,,,,,,,,,,0.859964,0.2671
Garr200908,495,2458,,,,,,,,,,,,,0.570733,0.1995
Garr200909,496,857,,,,,,,,,,,,,0.007929,0.0573
Garr201001,491,2765,,,,,,,,,,,,,0.661478,0.2176
Garr201005,512,2592,,,,,,,,,,,,,0.693052,0.2069
Garr201007,520,3012,,,,,,,,,,,,,0.805917,0.2521
Garr201008,518,2832,,,,,,,,,,,,,0.755023,0.2472
Garr201010,522,2785,,,,,,,,,,,,,0.771501,0.2296
Garr201102,531,2630,,,,,,,,,,,,,0.735568,0.2266
Garr201104,532,2671,,,,,,,,,,,,,0.732703,0.2233
Garr201105,532,2787,,,,,,,,,,,,,0.772855,0.24
Garr201108,533,2725,,,,,,,,,,,,,0.792668,0.2251
Garr201109,535,2986,,,,,,,,,,,,,0.888272,0.2453
Garr201110,537,2650,,,,,,,,,,,,,0.755113,0.2164
Garr201201,543,2814,,,,,,,,,,,,,0.750286,0.2418
Geant2001,59,86,,,,,,,,,,,,,0.000815,0.0044
Geant2009,97,154,,,,,,,,,,,,,0.002457,0.0104
Geant2010,106,148,,,,,,,,,,,,,0.003003,0.0116
Geant2012,73,1009,,,,,,,,,,,,,0.015558,0.0366
Highwinds,101,127,,,,,,,,,,,,,0.002415,0.0082
