dataset,instance,merges,tree_edge_cuts
graphs_set,AsnetAm,93714,187140
graphs_set,AttMpls,2915,6000
graphs_set,Bellcanada,101816,197044
graphs_set,Bellsouth,21549,41410
graphs_set,BeyondTheNetwork,33025,64786
graphs_set,BtNorthAmerica,2315,4649
graphs_set,Cernet,1475,2897
graphs_set,Cesnet200706,29849,57218
graphs_set,Cesnet201006,985,1894
graphs_set,Chinanet,505,975
graphs_set,Columbus,41445,86731
graphs_set,Cudi,18391,36711
graphs_set,Deltacom,56044,120130
graphs_set,DeutscheTelekom,2087,4084
graphs_set,Dfn,9477,19990
graphs_set,DialtelecomCz,27052,55488
graphs_set,Forthnet,39731,87854
graphs_set,Garr200902,3188,6288
graphs_set,Garr200908,3272,6401
graphs_set,Garr200909,1643,3331
graphs_set,Garr200912,5148,10140
graphs_set,Garr201001,1980,3937
graphs_set,Garr201003,7048,13840
graphs_set,Garr201005,4622,9732
graphs_set,Garr201007,42912,83402
graphs_set,Garr201008,5236,10598
graphs_set,Garr201010,129705,249573
graphs_set,Garr201012,9168,18738
graphs_set,Garr201102,8280,15941
graphs_set,Garr201103,14797,29698
graphs_set,Garr201104,22922,45286
graphs_set,Garr201105,16152,31960
graphs_set,Garr201107,18305,35355
graphs_set,Garr201108,6921,14250
graphs_set,Garr201109,17559,35431
graphs_set,Garr201110,7085,14207
graphs_set,Garr201111,17513,34740
graphs_set,Garr201112,38713,76821
graphs_set,Garr201201,9487,18833
graphs_set,Geant2009,23326,45797
graphs_set,Geant2010,10851,22324
graphs_set,Geant2012,5486,10984
graphs_set,Globenet,49000,93358
graphs_set,HiberniaGlobal,113116,217700
graphs_set,Highwinds,1174,2537
graphs_set,Iij,86560,167358
graphs_set,Internode,21377,42760
graphs_set,Interoute,16413,32511
graphs_set,Intranetwork,3046,6000
graphs_set,Iris,1496,2927
graphs_set,Latnet,9040,18575
graphs_set,Missouri,6432,13120
graphs_set,Ntelos,2914,5499
graphs_set,Ntt,1976,3705
graphs_set,Oteglobe,50584,101145
graphs_set,Palmetto,1657,3365
graphs_set,Pern,6396,12401
graphs_set,PionierL3,9206,17654
graphs_set,RedBestel,43573,90550
graphs_set,Renater2010,2038,3915
graphs_set,RoedunetFibre,1640,3138
graphs_set,Sinet,8103,15676
graphs_set,Surfnet,42750,84861
graphs_set,Switch,27452,55317
graphs_set,SwitchL3,1138,2194
graphs_set,Syringa,99698,205039
graphs_set,TataNld,62800,128099
graphs_set,Telcove,15058,29127
graphs_set,Tinet,23415,47899
graphs_set,Tw,34345,68463
graphs_set,Uninett2010,165318,324841
graphs_set,UsSignal,34167,65772
graphs_set,Uunet,2909,5652
graphs_set,VtlWavenet2008,102189,219351
graphs_set,VtlWavenet2011,272854,570535
exact_cover_benchmarks,bell-06,55,65
exact_cover_benchmarks,bell-07,103,129
exact_cover_benchmarks,bell-08,180,207
exact_cover_benchmarks,bell-09,426,486
exact_cover_benchmarks,bell-10,815,975
exact_cover_benchmarks,bell-11,1539,1844
set_partition_benchmarks,delta,5829,6679
dominoes_set,dominoes_10x10,89,167
dominoes_set,dominoes_10x12,111,206
dominoes_set,dominoes_12x12,124,236
dominoes_set,dominoes_8x10,71,129
dominoes_set,dominoes_8x8,59,106
exact_cover_benchmarks,doublefact-09,40,55
exact_cover_benchmarks,doublefact-11,85,110
exact_cover_benchmarks,doublefact-13,154,193
exact_cover_benchmarks,doublefact-15,204,245
exact_cover_benchmarks,doublefact-17,403,483
exact_cover_benchmarks,doublefact-19,390,470
exact_cover_benchmarks,doublefact-21,435,523
exact_cover_benchmarks,doublefact-23,629,711
exact_cover_benchmarks,doublefact-25,1064,1203
exact_cover_benchmarks,doublefact-27,981,1156
exact_cover_benchmarks,doublefact-29,921,1066
set_partition_benchmarks,exotic_fives,3193,3555
graphs_set,grafo10006.98,143459,294355
graphs_set,grafo10072.97,364511,852248
graphs_set,grafo10084.97,66990,135081
graphs_set,grafo10093.98,17605,37034
graphs_set,grafo10099.94,357423,759538
graphs_set,grafo10100.99,125848,280504
graphs_set,grafo10105.93,13132,25042
graphs_set,grafo10112.98,248520,486162
graphs_set,grafo10113.94,188996,381881
graphs_set,grafo10124.100,1189133,2718135
graphs_set,grafo10126.98,981560,2129658
graphs_set,grafo10146.97,107550,232660
graphs_set,grafo10151.94,1237714,2727694
graphs_set,grafo10153.100,126533,247523
graphs_set,grafo10156.97,145140,311257
graphs_set,grafo10162.93,151540,297439
graphs_set,grafo10171.99,120601,255993
graphs_set,grafo10173.97,4466013,9589083
graphs_set,grafo10175.99,86213,188185
graphs_set,grafo10176.97,246965,527542
graphs_set,grafo10179.97,1857024,3873521
graphs_set,grafo10184.100,72010,143094
graphs_set,grafo10195.99,40848,88187
graphs_set,grafo10203.97,32781,67535
graphs_set,grafo10204.100,316883,648130
graphs_set,grafo10205.97,27029,56001
graphs_set,grafo10207.98,41421,84904
graphs_set,grafo10209.99,75251,161106
graphs_set,grafo10215.93,25896,52319
graphs_set,grafo10218.99,959426,1994502
graphs_set,grafo10220.97,50465,102122
graphs_set,grafo10223.100,123658,241931
graphs_set,grafo10244.99,34688,70272
graphs_set,grafo10250.100,83989,169727
graphs_set,grafo10262.100,23678,50657
graphs_set,grafo10265.100,17915,40913
graphs_set,grafo10266.94,35927,75377
graphs_set,grafo10269.99,33338,64515
graphs_set,grafo10273.97,155838,333133
graphs_set,grafo10275.97,563157,1243394
graphs_set,grafo10288.95,31754,66468
graphs_set,grafo10291.93,135643,283116
graphs_set,grafo10293.99,41200,83213
graphs_set,grafo10297.98,44771,90622
graphs_set,grafo10298.97,38518,77899
graphs_set,grafo10303.96,40684,84180
graphs_set,grafo10305.100,82987,166953
graphs_set,grafo10318.98,220241,444786
graphs_set,grafo10325.96,1682217,3559338
graphs_set,grafo10327.97,46584,99036
graphs_set,grafo10339.95,382832,785988
graphs_set,grafo10346.97,167565,382802
graphs_set,grafo10351.97,76227,148655
graphs_set,grafo10353.99,213508,477111
graphs_set,grafo10354.99,31535,66925
graphs_set,grafo10359.95,949070,2081172
graphs_set,grafo10362.94,152014,305265
graphs_set,grafo10369.100,39276,77592
graphs_set,grafo10383.99,15294,28099
graphs_set,grafo10387.97,13473,26770
graphs_set,grafo10388.95,94615,190822
graphs_set,grafo10393.96,1070525,2137155
graphs_set,grafo10409.96,35781,74879
graphs_set,grafo10416.96,36374,77496
graphs_set,grafo10418.100,41288,83940
graphs_set,grafo10420.97,36843,75286
graphs_set,grafo10421.99,101010,206826
graphs_set,grafo10426.100,2229739,4793796
graphs_set,grafo10432.99,87228,189639
graphs_set,grafo10436.95,80436,157542
graphs_set,grafo10444.100,110954,224966
graphs_set,grafo10445.94,23480,43698
graphs_set,grafo10446.95,35273,73576
graphs_set,grafo10452.94,19284,40034
graphs_set,grafo10453.97,76032,161477
graphs_set,grafo10467.100,121075,247882
graphs_set,grafo10469.100,132129,298705
graphs_set,grafo10484.99,34572,68764
graphs_set,grafo10488.98,33656,71014
graphs_set,grafo10501.96,232137,476450
graphs_set,grafo10502.91,20810,42221
graphs_set,grafo10516.94,510766,1034874
graphs_set,grafo10522.99,57488,109375
graphs_set,grafo10523.97,63820,126792
graphs_set,grafo10532.99,692993,1516460
graphs_set,grafo10533.100,528673,1123807
graphs_set,grafo10534.100,60069,119993
graphs_set,grafo10536.99,44576,90809
graphs_set,grafo10538.100,348827,748675
graphs_set,grafo10547.94,127215,270402
graphs_set,grafo10549.99,194573,388018
graphs_set,grafo10552.96,617095,1285371
graphs_set,grafo10560.95,57482,122183
graphs_set,grafo10575.99,548923,1169763
graphs_set,grafo10577.100,197946,380359
graphs_set,grafo10578.96,41903,87681
graphs_set,grafo10586.100,88663,187599
graphs_set,grafo10589.93,377959,764165
graphs_set,grafo10592.98,168195,326740
graphs_set,grafo10596.99,95028,208459
graphs_set,grafo10603.100,345890,743972
graphs_set,grafo10608.93,68794,143924
graphs_set,grafo10624.91,26828,55361
graphs_set,grafo10626.100,25937,54357
graphs_set,grafo10630.94,1080869,2390674
graphs_set,grafo10632.100,46523,88776
graphs_set,grafo10634.96,450029,914491
graphs_set,grafo10635.95,97994,205072
graphs_set,grafo10637.94,66788,157130
graphs_set,grafo10638.100,58009,143490
graphs_set,grafo10644.100,159275,326793
graphs_set,grafo10646.100,113378,229225
graphs_set,grafo10648.98,62561,120314
graphs_set,grafo10653.100,102763,196308
graphs_set,grafo10662.100,289691,626701
graphs_set,grafo10663.99,50710,107420
graphs_set,grafo10671.100,103791,204851
graphs_set,grafo10674.99,238393,479015
graphs_set,grafo10676.100,51368,107585
graphs_set,grafo10685.98,61727,127648
graphs_set,grafo10688.95,36792,71264
graphs_set,grafo10689.98,18438,37290
graphs_set,grafo10693.98,29381,61653
graphs_set,grafo10695.98,85328,173996
graphs_set,grafo10696.99,379848,788597
graphs_set,grafo10698.95,19183,38980
graphs_set,grafo10700.98,50437,106836
graphs_set,grafo10712.98,97771,197375
graphs_set,grafo10713.92,40931,80744
graphs_set,grafo10722.96,32617,64532
graphs_set,grafo10726.99,152602,322755
graphs_set,grafo10736.99,71423,149939
graphs_set,grafo10737.99,153940,313408
graphs_set,grafo10750.100,90035,181016
graphs_set,grafo10758.96,63454,126482
graphs_set,grafo10760.96,127722,248801
graphs_set,grafo10780.99,70165,148088
graphs_set,grafo10781.100,9132,14055
graphs_set,grafo10792.98,114849,232313
graphs_set,grafo10806.97,3428967,7314906
graphs_set,grafo10808.98,289558,576728
graphs_set,grafo10811.96,561504,1183731
graphs_set,grafo10814.98,526616,1014604
graphs_set,grafo10825.98,21469,45227
graphs_set,grafo10829.97,115780,252386
graphs_set,grafo10831.98,72104,143295
graphs_set,grafo10836.97,42004,84293
graphs_set,grafo10849.95,32324,66713
graphs_set,grafo10854.99,62406,125993
graphs_set,grafo10859.97,93301,203477
graphs_set,grafo10860.93,19676,38614
graphs_set,grafo10861.100,74477,151689
graphs_set,Garr201004,,
graphs_set,Garr201101,,
graphs_set,Ulaknet,,
graphs_set,UsCarrier,,
exact_cover_benchmarks,bell-12,,
graphs_set,grafo10116.100,,
graphs_set,grafo10129.99,,
graphs_set,grafo10161.99,,
graphs_set,grafo10237.100,,
graphs_set,grafo10259.100,,
graphs_set,grafo10365.97,,
graphs_set,grafo10405.97,,
graphs_set,grafo10491.97,,
graphs_set,grafo10492.96,,
graphs_set,grafo10496.98,,
graphs_set,grafo10633.100,,
graphs_set,grafo10650.98,,
graphs_set,grafo10652.100,,
graphs_set,grafo10714.99,,
graphs_set,grafo10807.95,,
graphs_set,grafo10827.99,,
graphs_set,grafo10864.99,90564,188227
graphs_set,grafo10866.98,,
graphs_set,grafo10878.94,94438,187836
graphs_set,grafo10882.95,154169,341237
graphs_set,grafo10883.93,59026,114191
graphs_set,grafo10898.95,24908,52574
graphs_set,grafo10905.97,27388,56563
graphs_set,grafo10907.99,,
graphs_set,grafo10908.98,71382,134412
graphs_set,grafo10918.98,338891,770041
graphs_set,grafo10919.97,78211,164089
graphs_set,grafo10926.99,22722,46764
graphs_set,grafo10937.100,74337,153150
graphs_set,grafo10943.95,390712,854043
graphs_set,grafo10945.98,81144,167665
graphs_set,grafo10970.100,178755,394891
graphs_set,grafo10972.95,1812320,3937174
graphs_set,grafo10976.92,26463,51113
graphs_set,grafo11000.99,200815,438412
graphs_set,grafo11003.100,224461,472512
graphs_set,grafo11008.99,451806,974520
graphs_set,grafo11011.100,68063,137851
graphs_set,grafo11014.100,94423,197759
graphs_set,grafo11015.98,90666,186211
graphs_set,grafo11016.98,64581,133379
graphs_set,grafo11020.100,140952,306050
graphs_set,grafo11035.99,23957,50217
graphs_set,grafo11037.99,352204,771399
graphs_set,grafo11039.96,276174,657893
graphs_set,grafo11044.95,36287,78505
graphs_set,grafo11050.98,131300,293789
graphs_set,grafo11056.98,199609,394239
graphs_set,grafo11060.99,131553,261717
graphs_set,grafo11067.98,,
graphs_set,grafo11069.93,201083,431585
graphs_set,grafo11070.94,101678,211149
graphs_set,grafo11076.97,37772,83726
graphs_set,grafo11088.97,37179,73898
graphs_set,grafo11096.97,50420,107638
graphs_set,grafo11100.95,,
graphs_set,grafo11101.95,5523,10552
graphs_set,grafo11102.98,54184,129824
graphs_set,grafo11105.95,750459,1598129
graphs_set,grafo11106.99,123836,278277
graphs_set,grafo11110.99,110700,245809
graphs_set,grafo11112.96,252837,608223
graphs_set,grafo11113.98,62279,132342
graphs_set,grafo11114.93,209517,440969
graphs_set,grafo11115.92,15222,32333
graphs_set,grafo11119.98,2408021,4998939
graphs_set,grafo11140.98,22833,49193
graphs_set,grafo11142.99,315676,648385
graphs_set,grafo11143.98,13663,29857
graphs_set,grafo11144.92,71518,148725
graphs_set,grafo11145.99,957459,2125261
graphs_set,grafo11148.99,1587174,3244129
graphs_set,grafo11157.100,43504,85674
graphs_set,grafo11181.95,19577,39590
graphs_set,grafo11198.98,,
graphs_set,grafo11201.99,41901,83729
graphs_set,grafo11218.99,16076,31785
graphs_set,grafo11223.99,137226,288874
graphs_set,grafo11227.100,432748,956985
graphs_set,grafo11250.99,244672,499510
graphs_set,grafo11251.93,56092,116871
graphs_set,grafo11254.99,56454,110538
graphs_set,grafo11271.99,24565,46365
graphs_set,grafo11280.99,129032,290758
graphs_set,grafo11313.96,152464,347631
graphs_set,grafo11324.100,172769,345084
graphs_set,grafo11335.100,40415,93204
graphs_set,grafo11458.100,250984,578151
graphs_set,grafo11469.96,257892,556681
graphs_set,grafo11546.97,64582,133729
graphs_set,grafo11569.93,62052,118621
graphs_set,grafo3435.99,41211,73858
graphs_set,grafo3532.99,33587,69941
graphs_set,grafo3680.99,66537,131096
graphs_set,grafo3712.95,39943,90309
graphs_set,grafo3861.99,90673,182300
graphs_set,grafo3890.96,34460,74784
graphs_set,grafo3898.99,36152,69618
graphs_set,grafo3979.98,22982,47993
graphs_set,grafo3995.97,101613,200517
graphs_set,grafo4091.99,209714,438919
graphs_set,grafo6562.98,16750,34464
graphs_set,grafo6625.99,88633,206884
graphs_set,grafo6975.39,77705,153651
graphs_set,grafo7221.99,24916,51456
graphs_set,grafo7263.99,261171,541981
graphs_set,grafo7417.39,28449,55158
graphs_set,grafo7785.100,56571,119075
graphs_set,grafo7797.100,,
graphs_set,grafo7907.80,102794,203008
graphs_set,grafo8008.95,109565,223421
graphs_set,grafo8127.78,10414,20949
graphs_set,grafo8198.99,40703,85503
graphs_set,grafo8223.99,36449,73144
graphs_set,grafo8373.100,22403,46361
graphs_set,grafo8478.98,150591,339785
graphs_set,grafo8490.95,,
graphs_set,grafo8510.100,95641,191400
graphs_set,grafo8513.100,,
graphs_set,grafo8566.98,56917,112659
graphs_set,grafo8571.94,87919,194892
graphs_set,grafo8673.98,38789,79640
graphs_set,grafo8674.100,168955,333442
graphs_set,grafo8719.93,,
graphs_set,grafo8739.99,33931,63897
graphs_set,grafo8777.98,21538,45625
graphs_set,grafo8780.96,21551,41651
graphs_set,grafo8791.94,670048,1507836
graphs_set,grafo8793.100,32598,72699
graphs_set,grafo8823.93,23390,45625
graphs_set,grafo8826.100,52993,107834
graphs_set,grafo8857.99,77527,157248
